,result,about,coordinates,players,team
161,"{'event': 'Hit', 'eventCode': 'TBL239', 'eventTypeId': 'HIT', 'description': 'Ondrej Palat hit Kris Letang'}","{'eventIdx': 161, 'eventId': 239, 'period': 2, 'periodType': 'REGULAR', 'ordinalNum': '2nd', 'periodTime': '08:08', 'periodTimeRemaining': '11:52', 'dateTime': '2021-10-13T00:54:31Z', 'goals': {'away': 2, 'home': 0}}","{'x': -82.0, 'y': -36.0}","[{'player': {'id': 8476292, 'fullName': 'Ondrej Palat', 'link': '/api/v1/people/8476292'}, 'playerType': 'Hitter'}, {'player': {'id': 8471724, 'fullName': 'Kris Letang', 'link': '/api/v1/people/8471724'}, 'playerType': 'Hittee'}]","{'id': 14, 'name': 'Tampa Bay Lightning', 'link': '/api/v1/teams/14', 'triCode': 'TBL'}"
162,"{'event': 'Stoppage', 'eventCode': 'TBL240', 'eventTypeId': 'STOP', 'description': 'Goalie Stopped'}","{'eventIdx': 163, 'eventId': 240, 'period': 2, 'periodType': 'REGULAR', 'ordinalNum': '2nd', 'periodTime': '08:42', 'periodTimeRemaining': '11:18', 'dateTime': '2021-10-13T00:55:05Z', 'goals': {'away': 2, 'home': 0}}",{},,
163,"{'event': 'Shot', 'eventCode': 'TBL283', 'eventTypeId': 'SHOT', 'description': 'Danton Heinen Wrap-around saved by Andrei Vasilevskiy', 'secondaryType': 'Wrap-around'}","{'eventIdx': 162, 'eventId': 283, 'period': 2, 'periodType': 'REGULAR', 'ordinalNum': '2nd', 'periodTime': '08:42', 'periodTimeRemaining': '11:18', 'dateTime': '2021-10-13T00:55:05Z', 'goals': {'away': 2, 'home': 0}}","{'x': 83.0, 'y': 6.0}","[{'player': {'id': 8478046, 'fullName': 'Danton Heinen', 'link': '/api/v1/people/8478046'}, 'playerType': 'Shooter'}, {'player': {'id': 8476883, 'fullName': 'Andrei Vasilevskiy', 'link': '/api/v1/people/8476883'}, 'playerType': 'Goalie'}]","{'id': 5, 'name': 'Pittsburgh Penguins', 'link': '/api/v1/teams/5', 'triCode': 'PIT'}"
164,"{'event': 'Faceoff', 'eventCode': 'TBL284', 'eventTypeId': 'FACEOFF', 'description': 'Steven Stamkos faceoff won against Bryan Rust'}","{'eventIdx': 164, 'eventId': 284, 'period': 2, 'periodType': 'REGULAR', 'ordinalNum': '2nd', 'periodTime': '08:42', 'periodTimeRemaining': '11:18', 'dateTime': '2021-10-13T00:55:53Z', 'goals': {'away': 2, 'home': 0}}","{'x': 69.0, 'y': 22.0}","[{'player': {'id': 8474564, 'fullName': 'Steven Stamkos', 'link': '/api/v1/people/8474564'}, 'playerType': 'Winner'}, {'player': {'id': 8475810, 'fullName': 'Bryan Rust', 'link': '/api/v1/people/8475810'}, 'playerType': 'Loser'}]","{'id': 14, 'name': 'Tampa Bay Lightning', 'link': '/api/v1/teams/14', 'triCode': 'TBL'}"
165,"{'event': 'Shot', 'eventCode': 'TBL285', 'eventTypeId': 'SHOT', 'description': 'Danton Heinen Wrist Shot saved by Andrei Vasilevskiy', 'secondaryType': 'Wrist Shot'}","{'eventIdx': 165, 'eventId': 285, 'period': 2, 'periodType': 'REGULAR', 'ordinalNum': '2nd', 'periodTime': '09:00', 'periodTimeRemaining': '11:00', 'dateTime': '2021-10-13T00:56:11Z', 'goals': {'away': 2, 'home': 0}}","{'x': 74.0, 'y': 10.0}","[{'player': {'id': 8478046, 'fullName': 'Danton Heinen', 'link': '/api/v1/people/8478046'}, 'playerType': 'Shooter'}, {'player': {'id': 8476883, 'fullName': 'Andrei Vasilevskiy', 'link': '/api/v1/people/8476883'}, 'playerType': 'Goalie'}]","{'id': 5, 'name': 'Pittsburgh Penguins', 'link': '/api/v1/teams/5', 'triCode': 'PIT'}"
166,"{'event': 'Takeaway', 'eventCode': 'TBL241', 'eventTypeId': 'TAKEAWAY', 'description': 'Takeaway by Alex Killorn'}","{'eventIdx': 166, 'eventId': 241, 'period': 2, 'periodType': 'REGULAR', 'ordinalNum': '2nd', 'periodTime': '09:10', 'periodTimeRemaining': '10:50', 'dateTime': '2021-10-13T00:56:21Z', 'goals': {'away': 2, 'home': 0}}","{'x': 91.0, 'y': 23.0}","[{'player': {'id': 8473986, 'fullName': 'Alex Killorn', 'link': '/api/v1/people/8473986'}, 'playerType': 'PlayerID'}]","{'id': 14, 'name': 'Tampa Bay Lightning', 'link': '/api/v1/teams/14', 'triCode': 'TBL'}"
167,"{'event': 'Hit', 'eventCode': 'TBL242', 'eventTypeId': 'HIT', 'description': 'Pat Maroon hit Evan Rodrigues'}","{'eventIdx': 167, 'eventId': 242, 'period': 2, 'periodType': 'REGULAR', 'ordinalNum': '2nd', 'periodTime': '09:43', 'periodTimeRemaining': '10:17', 'dateTime': '2021-10-13T00:56:54Z', 'goals': {'away': 2, 'home': 0}}","{'x': -72.0, 'y': -26.0}","[{'player': {'id': 8474034, 'fullName': 'Pat Maroon', 'link': '/api/v1/people/8474034'}, 'playerType': 'Hitter'}, {'player': {'id': 8478542, 'fullName': 'Evan Rodrigues', 'link': '/api/v1/people/8478542'}, 'playerType': 'Hittee'}]","{'id': 14, 'name': 'Tampa Bay Lightning', 'link': '/api/v1/teams/14', 'triCode': 'TBL'}"
168,"{'event': 'Shot', 'eventCode': 'TBL286', 'eventTypeId': 'SHOT', 'description': 'Jason Zucker Wrist Shot saved by Andrei Vasilevskiy', 'secondaryType': 'Wrist Shot'}","{'eventIdx': 168, 'eventId': 286, 'period': 2, 'periodType': 'REGULAR', 'ordinalNum': '2nd', 'periodTime': '09:45', 'periodTimeRemaining': '10:15', 'dateTime': '2021-10-13T00:56:56Z', 'goals': {'away': 2, 'home': 0}}","{'x': 79.0, 'y': 13.0}","[{'player': {'id': 8475722, 'fullName': 'Jason Zucker', 'link': '/api/v1/people/8475722'}, 'playerType': 'Shooter'}, {'player': {'id': 8476883, 'fullName': 'Andrei Vasilevskiy', 'link': '/api/v1/people/8476883'}, 'playerType': 'Goalie'}]","{'id': 5, 'name': 'Pittsburgh Penguins', 'link': '/api/v1/teams/5', 'triCode': 'PIT'}"
169,"{'event': 'Shot', 'eventCode': 'TBL287', 'eventTypeId': 'SHOT', 'description': 'Jason Zucker Snap Shot saved by Andrei Vasilevskiy', 'secondaryType': 'Snap Shot'}","{'eventIdx': 169, 'eventId': 287, 'period': 2, 'periodType': 'REGULAR', 'ordinalNum': '2nd', 'periodTime': '10:17', 'periodTimeRemaining': '09:43', 'dateTime': '2021-10-13T00:57:28Z', 'goals': {'away': 2, 'home': 0}}","{'x': 74.0, 'y': 9.0}","[{'player': {'id': 8475722, 'fullName': 'Jason Zucker', 'link': '/api/v1/people/8475722'}, 'playerType': 'Shooter'}, {'player': {'id': 8476883, 'fullName': 'Andrei Vasilevskiy', 'link': '/api/v1/people/8476883'}, 'playerType': 'Goalie'}]","{'id': 5, 'name': 'Pittsburgh Penguins', 'link': '/api/v1/teams/5', 'triCode': 'PIT'}"
170,"{'event': 'Stoppage', 'eventCode': 'TBL243', 'eventTypeId': 'STOP', 'description': 'Icing'}","{'eventIdx': 170, 'eventId': 243, 'period': 2, 'periodType': 'REGULAR', 'ordinalNum': '2nd', 'periodTime': '10:28', 'periodTimeRemaining': '09:32', 'dateTime': '2021-10-13T00:57:38Z', 'goals': {'away': 2, 'home': 0}}",{},,
