play_id,period,strength,period_time,remain_time,play_code,play_description,visit_player_on_ice,home_player_on_ice,player_one,player_two,player_three,player_four,date_time,coordinates,play_year,play_month,play_day,play_time,x_coord,y_coord
183,2,EV,12:27,7:33,HIT,"TBL #81 CERNAK HIT PIT #11 BOYLE, Def. Zone","{'C': '18', 'L': '43', 'D1': '2', 'D2': '52', 'G': '35'}","{'R': '16', 'L': '41', 'D1': '27', 'D2': '81', 'G': '88'}",Erik Cernak,Brian Boyle,,,2021-10-13T01:02:40Z,"{'x': 85.0, 'y': 36.0}",2021,10,12,21:02:40,85.0,36.0
184,2,EV,12:56,7:04,PENL,"PIT #43 HEINEN Tripping(2 min), Def. Zone Drawn By: TBL #17 KILLORN","{'C': '77', 'R': '17', 'L': '43', 'D1': '2', 'D2': '52', 'G': '35'}","{'C': '91', 'R': '86', 'D1': '77', 'G': '88'}",Danton Heinen,Alex Killorn,,,2021-10-13T01:03:08Z,"{'x': -43.0, 'y': 38.0}",2021,10,12,21:03:08,-43.0,38.0
185,2,PP,12:56,7:04,FAC,TBL won Off. Zone - PIT #53 BLUEGER vs TBL #91 STAMKOS,"{'C': '53', 'L': '23', 'D1': '6', 'D2': '8', 'G': '35'}","{'C': '91', 'R': '86', 'D1': '77', 'G': '88'}",Steven Stamkos,Teddy Blueger,,,2021-10-13T01:04:08Z,"{'x': -69.0, 'y': 22.0}",2021,10,12,21:04:08,-69.0,22.0
186,2,PP,13:16,6:44,MISS,"TBL #21 POINT, Wrist, Wide of Net, Off. Zone, 17 ft.","{'C': '53', 'L': '23', 'D1': '6', 'D2': '8', 'G': '35'}","{'C': '91', 'R': '86', 'D1': '77', 'G': '88'}",Brayden Point,Tristan Jarry,,,2021-10-13T01:04:29Z,"{'x': -72.0, 'y': 5.0}",2021,10,12,21:04:29,-72.0,5.0
187,2,PP,13:24,6:36,SHOT,"TBL ONGOAL - #21 POINT, Wrist, Off. Zone, 23 ft.","{'C': '53', 'L': '23', 'D1': '6', 'D2': '8', 'G': '35'}","{'C': '91', 'R': '86', 'D1': '77', 'G': '88'}",Brayden Point,Tristan Jarry,,,2021-10-13T01:04:37Z,"{'x': -66.0, 'y': 2.0}",2021,10,12,21:04:37,-66.0,2.0
188,2,,14:19,5:41,STOP,SKATER PUCK FROZEN,"{'C': '53', 'L': '23', 'D1': '6', 'D2': '8', 'G': '35'}","{'C': '71', 'R': '10', 'L': '18', 'D1': '98', 'G': '88'}",,,,,2021-10-13T01:05:32Z,{},2021,10,12,21:05:32,,
189,2,SH,14:19,5:41,FAC,PIT won Def. Zone - PIT #18 LAFFERTY vs TBL #14 MAROON,"{'C': '18', 'D1': '6', 'D2': '8', 'G': '35'}","{'C': '71', 'R': '10', 'L': '18', 'D1': '98', 'G': '88'}",Sam Lafferty,Pat Maroon,,,2021-10-13T01:06:12Z,"{'x': -69.0, 'y': -22.0}",2021,10,12,21:06:12,-69.0,-22.0
190,2,,14:25,5:35,STOP,PUCK IN BENCHES,"{'C': '18', 'D1': '6', 'D2': '8', 'G': '35'}","{'C': '71', 'R': '10', 'L': '18', 'D1': '98', 'G': '88'}",,,,,2021-10-13T01:06:18Z,{},2021,10,12,21:06:18,,
191,2,PP,14:25,5:35,FAC,TBL won Off. Zone - PIT #11 BOYLE vs TBL #91 STAMKOS,"{'C': '18', 'D1': '6', 'D2': '8', 'G': '35'}","{'C': '91', 'R': '86', 'D1': '77', 'G': '88'}",Steven Stamkos,Brian Boyle,,,2021-10-13T01:06:48Z,"{'x': -69.0, 'y': 22.0}",2021,10,12,21:06:48,-69.0,22.0
192,2,EV,14:58,5:02,MISS,"TBL #77 HEDMAN, Slap, Wide of Net, Off. Zone, 53 ft.","{'C': '11', 'R': '17', 'L': '43', 'D1': '6', 'D2': '8', 'G': '35'}","{'C': '91', 'R': '86', 'D1': '77', 'G': '88'}",Victor Hedman,Tristan Jarry,,,2021-10-13T01:07:21Z,"{'x': -45.0, 'y': 31.0}",2021,10,12,21:07:21,-45.0,31.0
