,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
68,69,1,EV,10:43,9:17,HIT,"TBL #7 JOSEPH HIT PIT #52 FRIEDMAN, Off. Zone","{'C': '53', 'L': '23', 'D1': '2', 'D2': '52', 'G': '35'}","{'C': '79', 'R': '10', 'D1': '81', 'D2': '98', 'G': '88'}",Mathieu Joseph,Mark Friedman,,,2021-10-13T00:03:38Z,"{'x': 96.0, 'y': 20.0}"
69,70,1,EV,10:55,9:05,SHOT,"PIT ONGOAL - #49 SIMON, Wrist, Off. Zone, 8 ft.","{'C': '53', 'L': '23', 'D1': '2', 'D2': '52', 'G': '35'}","{'C': '79', 'R': '10', 'D1': '81', 'D2': '98', 'G': '88'}",Dominik Simon,Andrei Vasilevskiy,,,2021-10-13T00:03:50Z,"{'x': -81.0, 'y': -4.0}"
70,71,1,EV,11:06,8:54,HIT,"TBL #98 SERGACHEV HIT PIT #49 SIMON, Def. Zone","{'C': '53', 'L': '23', 'D1': '2', 'D2': '52', 'G': '35'}","{'C': '79', 'R': '10', 'D1': '81', 'D2': '98', 'G': '88'}",Mikhail Sergachev,Dominik Simon,,,2021-10-13T00:04:01Z,"{'x': -82.0, 'y': 39.0}"
71,72,1,,11:28,8:32,STOP,"PUCK FROZEN,TV TIMEOUT","{'C': '9', 'R': '42', 'L': '16', 'D1': '6', 'D2': '28', 'G': '35'}","{'C': '91', 'D1': '44', 'D2': '77', 'G': '88'}",,,,,2021-10-13T00:04:22Z,{}
72,73,1,EV,11:28,8:32,FAC,TBL won Def. Zone - PIT #9 RODRIGUES vs TBL #91 STAMKOS,"{'C': '9', 'R': '42', 'L': '16', 'D1': '6', 'D2': '28', 'G': '35'}","{'C': '91', 'D1': '44', 'D2': '77', 'G': '88'}",Steven Stamkos,Evan Rodrigues,,,2021-10-13T00:06:40Z,"{'x': -69.0, 'y': -22.0}"
73,74,1,EV,11:37,8:23,TAKE,"TBL TAKEAWAY - #71 CIRELLI, Def. Zone","{'C': '9', 'R': '42', 'L': '16', 'D1': '6', 'D2': '28', 'G': '35'}","{'C': '91', 'D1': '44', 'D2': '77', 'G': '88'}",Anthony Cirelli,,,,2021-10-13T00:06:49Z,"{'x': -35.0, 'y': -29.0}"
74,75,1,EV,11:49,8:11,HIT,"TBL #91 STAMKOS HIT PIT #28 PETTERSSON, Off. Zone","{'C': '9', 'R': '42', 'L': '16', 'D1': '6', 'D2': '28', 'G': '35'}","{'C': '91', 'D1': '44', 'D2': '77', 'G': '88'}",Steven Stamkos,Marcus Pettersson,,,2021-10-13T00:07:01Z,"{'x': 97.0, 'y': 16.0}"
75,76,1,EV,12:00,8:00,BLOCK,"TBL #71 CIRELLI BLOCKED BY  PIT #16 ZUCKER, Wrist, Def. Zone","{'C': '9', 'R': '42', 'L': '16', 'D1': '6', 'D2': '28', 'G': '35'}","{'C': '91', 'D1': '44', 'D2': '77', 'G': '88'}",Jason Zucker,Anthony Cirelli,,,2021-10-13T00:07:12Z,"{'x': 75.0, 'y': -4.0}"
76,77,1,,12:06,7:54,STOP,ICING,"{'C': '77', 'R': '17', 'D1': '28', 'D2': '58', 'G': '35'}","{'C': '91', 'D1': '44', 'D2': '77', 'G': '88'}",,,,,2021-10-13T00:07:18Z,{}
77,78,1,EV,12:06,7:54,FAC,PIT won Def. Zone - PIT #77 CARTER vs TBL #21 POINT,"{'C': '77', 'R': '17', 'D1': '28', 'D2': '58', 'G': '35'}","{'C': '21', 'R': '86', 'L': '18', 'D1': '77', 'D2': '98', 'G': '88'}",Jeff Carter,Brayden Point,,,2021-10-13T00:08:00Z,"{'x': 69.0, 'y': -22.0}"
