nlc,Station,Note,Entry_Week,Entry_Saturday,Entry_Sunday,Exit_Week,Exit_Saturday,Exit_Sunday,AnnualEntryExit_Mill
762,West Ruislip,,2161,1336,621,2005,1070,633,1.25
754,Westbourne Park,,4980,3384,2100,4148,2911,1902,2.87
761,Westminster,,26901,24293,18131,27512,23607,17558,18.36
764,White City,,13233,5373,2630,12692,5663,2487,7.43
763,Whitechapel,,20162,10986,8667,20192,11365,9212,12.43
765,Willesden Green,,13293,10712,7234,12843,9527,7188,8.52
766,Willesden Junction,,5337,4182,2240,5481,3868,2374,3.43
767,Wimbledon,,22609,16718,10384,23623,17561,11344,14.76
768,Wimbledon Park, ,3394,2774,1444,3127,2243,1327,2.07
770,Wood Green, ,17373,14504,9861,15942,12574,9316,10.97
769,Woodford, ,7624,4453,2555,6297,3914,2361,4.25
771,Woodside Park,,3896,2068,1282,3466,1416,1415,2.20
